ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28459673 754256.644 3752675.673 304.761 0.047 0.14035 39.120 62660.12134 -84.250890387 33.883812259
28459763 754256.726 3752675.862 305.107 0.024 0.15054 38.683 62660.13463 -84.250889444 33.883813937
28459764 754256.749 3752675.718 304.723 0.075 0.14025 38.779 62660.13466 -84.250889237 33.883812640
28459854 754256.836 3752675.791 305.085 0.059 0.15054 38.459 62660.14795 -84.250888272 33.883813273
28459855 754256.849 3752675.894 304.675 0.051 0.14025 38.307 62660.14799 -84.250888109 33.883814196
28459945 754256.937 3752675.943 305.039 0.098 0.15064 38.011 62660.16127 -84.250887137 33.883814616
28459946 754256.957 3752675.854 304.655 0.067 0.14035 38.053 62660.16130 -84.250886944 33.883813809
28460035 754257.05 3752675.818 305.019 0.067 0.15054 37.841 62660.17459 -84.250885952 33.883813465
28460036 754257.068 3752675.785 304.632 0.071 0.14025 37.827 62660.17462 -84.250885769 33.883813162
28460037 754257.084 3752675.791 304.24 0.055 0.12996 37.777 62660.17465 -84.250885593 33.883813218
28460125 754257.139 3752675.881 305.369 0.071 0.16083 37.533 62660.18788 -84.250884972 33.883814012
28460126 754257.153 3752675.942 304.973 0.047 0.15054 37.420 62660.18791 -84.250884806 33.883814562
28460127 754257.168 3752675.974 304.582 0.106 0.14025 37.341 62660.18794 -84.250884636 33.883814846
28460128 754257.189 3752675.863 304.207 0.110 0.12996 37.410 62660.18798 -84.250884441 33.883813838
28460217 754257.241 3752676.047 305.316 0.094 0.16093 37.070 62660.20120 -84.250883821 33.883815484
28460218 754257.262 3752675.95 304.945 0.082 0.15064 37.118 62660.20123 -84.250883631 33.883814600
28460219 754257.276 3752675.978 304.557 0.090 0.14035 37.043 62660.20126 -84.250883462 33.883814851
28460220 754257.298 3752675.84 304.189 0.090 0.13006 37.139 62660.20130 -84.250883265 33.883813604
28460309 754257.367 3752675.871 305.304 0.059 0.16083 36.952 62660.21452 -84.250882519 33.883813868
28460310 754257.381 3752675.923 304.914 0.078 0.15054 36.849 62660.21455 -84.250882354 33.883814335
28460311 754257.392 3752676.038 304.519 0.063 0.14025 36.687 62660.21459 -84.250882198 33.883815366
28460312 754257.411 3752675.954 304.149 0.059 0.12996 36.730 62660.21462 -84.250882012 33.883814600
28460401 754257.479 3752676.012 305.252 0.043 0.16083 36.514 62660.22784 -84.250881264 33.883815113
28460402 754257.492 3752676.076 304.865 0.075 0.15054 36.400 62660.22788 -84.250881101 33.883815682
28460403 754257.51 3752676.024 304.494 0.090 0.14025 36.407 62660.22791 -84.250880923 33.883815207
28460404 754257.534 3752675.829 304.138 0.059 0.12996 36.561 62660.22794 -84.250880722 33.883813449
28460494 754257.608 3752676.141 304.83 0.086 0.15064 36.040 62660.24119 -84.250879836 33.883816242
28460495 754257.633 3752675.908 304.485 0.098 0.14035 36.229 62660.24123 -84.250879632 33.883814139
28460585 754257.73 3752676.041 304.81 0.055 0.15054 35.846 62660.25451 -84.250878542 33.883815307
28460586 754257.751 3752675.92 304.453 0.075 0.14025 35.923 62660.25454 -84.250878356 33.883814212
28460676 754257.844 3752676.164 304.764 0.055 0.15054 35.427 62660.26783 -84.250877278 33.883816388
28460677 754257.864 3752676.054 304.41 0.063 0.14025 35.493 62660.26786 -84.250877097 33.883815395
